Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,
0,0.002049,-12.140205,0.028563,0.010472,0,0,,,,,
0.131,0.003161,-12.147083,0.028475,0.010495,0,0,,,,,
0.24,0.00464,-12.156252,0.02834,0.010435,0,0,,,,,
0.375,0.005745,-12.163103,0.028264,0.010399,0,0,,,,,
0.478,0.007214,-12.172212,0.02821,0.010364,0,0,,,,,
0.607,0.008313,-12.179031,0.028189,0.010345,0,0,,,,,
0.716,0.009776,-12.188094,0.026923,0.010323,0,0,,,,,
0.85,0.010872,-12.194818,0.027354,0.010323,0,0,,,,,
0.954,0.012334,-12.203782,0.027362,0.010324,0,0,,,,,0.298
1.094,0.013431,-12.210504,0.027295,0.010324,0,0,,,,,
1.199,0.014893,-12.219469,0.027424,0.010325,0,0,,,,,
1.342,0.016356,-12.228433,0.027349,0.010325,0,0,,,,,
1.45,0.009761,-12.179454,-2.796682,0.364646,-28,8,,,,,
1.566,0.00179,-10.910477,-13.398316,1.026079,-28,1,,,,,
1.699,0.009396,-9.494559,-14.161797,1.052495,-28,0,,,,,
1.809,0.049951,-7.601032,-14.295516,1.018711,-28,0,,,,,
1.941,0.058167,-6.140343,-14.65815,0.993009,-28,0,,,,,
2.049,0.059651,-4.20708,-14.584022,0.973551,-28,0,,,,,
2.181,0.079611,-2.763648,-14.4123,0.957636,-15,0,,,,,
2.289,0.10081,-1.125621,-9.734543,0.898674,2,0,,,,,
2.432,0.115643,-0.336642,-2.312938,0.929353,28,0,,,,,
2.537,0.113493,-0.450808,3.785481,0.980721,26,0,,,,,
2.669,0.106723,-1.406383,8.419528,0.964714,18,0,,,,,
2.781,0.088136,-2.362113,8.788245,0.948148,1,0,,,,,
2.892,0.062625,-3.337667,3.14788,0.932875,-8,0,,,,,
3.028,0.058483,-3.510058,-1.582867,0.958146,-26,0,,,,,
3.136,0.050692,-2.971734,-7.371884,0.981656,-22,0,,,,,
3.272,0.060836,-2.221383,-8.819884,0.957699,-13,0,,,,,
3.376,0.079433,-1.2108,-7.145901,0.918455,-6,0,,,,,
3.516,0.085865,-0.739485,-3.798314,0.912347,5,0,,,,,
3.656,0.090177,-0.780194,1.110836,0.923129,10,0,,,,,
3.794,0.078079,-1.208956,3.062661,0.929487,9,0,,,,,
3.899,0.070267,-1.666236,3.31763,0.926361,2,0,,,,,
4.031,0.062946,-2.091301,1.287163,0.924272,-11,0,,,,,
4.135,0.057694,-2.244764,-0.744355,0.932912,-12,0,,,,,
4.275,0.069864,-2.028828,-3.724612,0.935084,-13,0,,,,,
4.379,0.071137,-1.724111,-4.554728,0.927875,-9,0,,,,,
4.49,0.07963,-1.419724,-4.043156,0.919356,-5,0,,,,,
4.627,0.086692,-1.204921,-3.070103,0.915044,0,0,,,,,
4.735,0.079428,-1.062805,-1.581276,0.913788,2,0,,,,,
4.871,0.08132,-1.133793,-0.53898,0.919068,2,0,,,,,
4.975,0.073658,-1.319068,0.291536,0.92241,1,0,,,,,
5.101,0.071258,-1.526001,0.219357,0.92283,-1,0,,,,,
5.21,0.069908,-1.690141,-0.62086,0.92403,-3,0,,,,,
5.347,0.06784,-1.762789,-1.776725,0.923786,-9,0,,,,,
5.45,0.078295,-1.634232,-2.979355,0.923624,-9,0,,,,,
5.586,0.0785,-1.501777,-3.355146,0.923279,-6,0,,,,,
5.686,0.08636,-1.504336,-2.609288,0.920291,-3,0,,,,,
5.826,0.090889,-1.486778,-1.934058,0.920664,-3,0,,,,,
5.974,0.078783,-1.424382,-1.574068,0.920779,-4,0,,,,,
6.105,0.0866,-1.409763,-2.058854,0.921724,-5,0,,,,,
6.209,0.085913,-1.435041,-2.525837,0.922952,-6,0,,,,,
6.345,0.094691,-1.654009,-2.559155,0.925893,-4,0,,,,,
6.445,0.098774,-1.709839,-2.331645,0.926176,-4,0,,,,,
6.581,0.089926,-1.737488,-2.110059,0.927301,-4,0,,,,,
6.685,0.092166,-1.863369,-2.159653,0.926536,-9,0,,,,,
6.825,0.090417,-1.835208,-3.537641,0.922734,-9,0,,,,,
6.965,0.098294,-1.702075,-3.83406,0.932063,-8,0,,,,,
7.074,0.110679,-2.000821,-3.699183,0.931809,-6,0,,,,,
7.204,0.113012,-1.677185,-3.241098,0.932644,-6,0,,,,,
7.312,0.108537,-2.106689,-3.358557,0.927335,-8,0,,,,,
7.44,0.112492,-2.207744,-3.794832,0.926971,-10,0,,,,,
7.55,0.113624,-2.125458,-4.512054,0.939759,-11,0,,,,,
7.685,0.118356,-2.145754,-4.772881,0.942035,-6,0,,,,,
7.788,0.125305,-2.101279,-3.423677,0.941051,-5,0,,,,,
7.916,0.126306,-2.3136,-2.720173,0.946247,-4,0,,,,,
8.026,0.134363,-2.926696,-2.869336,0.951176,-6,0,,,,,
8.16,0.134329,-2.648593,-2.701061,0.954532,-5,0,,,,,
8.264,0.126263,-3.089246,-2.460837,0.95476,-5,0,,,,,
8.395,0.126092,-3.146092,-2.625181,0.955517,-5,0,,,,,
8.499,0.123023,-3.082887,-2.447612,0.95518,-5,0,,,,,
8.631,0.121567,-3.085139,-2.040441,0.952047,-2,0,,,,,
8.74,0.123182,-3.036559,-1.351819,0.950085,-1,0,,,,,
8.879,0.119316,-3.049016,-1.179596,0.949721,-1,0,,,,,
8.987,0.118075,-3.064597,-0.732494,0.946819,0,0,,,,,
9.123,0.115737,-3.001517,-0.472411,0.944012,0,0,,,,,
9.223,0.101668,-2.934932,0.086032,0.938789,0,0,,,,,
9.358,0.097691,-2.849683,0.159845,0.937852,1,0,,,,,
9.463,0.08789,-2.756396,0.429289,0.934382,1,0,,,,,
9.598,0.082439,-2.619773,0.697941,0.928419,2,0,,,,,
9.698,0.078167,-2.508573,1.16341,0.922762,3,0,,,,,
9.834,0.070246,-2.365628,1.611776,0.919708,5,0,,,,,
9.938,0.071662,-2.292317,2.112519,0.917172,5,0,,,,,
10.07,0.061753,-2.136715,2.277475,0.916078,6,0,,,,,
10.178,0.058682,-1.558523,2.623581,0.913042,6,0,,,,,
10.31,0.059011,-1.302811,2.933008,0.910529,7,0,,,,,
10.418,0.03396,-1.137867,3.42838,0.908748,8,0,,,,,
10.554,0.013527,-0.966281,3.581396,0.909768,8,0,,,,,
10.661,0.008683,-0.671732,3.374017,0.911157,7,0,,,,,
10.793,0.019031,-0.484556,2.917082,0.910925,5,0,,,,,
10.899,0.015235,-0.144231,2.395498,0.911838,4,0,,,,,
11.033,0.040706,0.126797,2.558777,0.908936,9,0,,,,,
11.141,0.037329,0.391851,3.230827,0.910016,12,0,,,,,
11.281,0.046947,0.941654,4.544814,0.915668,8,0,,,,,
11.381,0.054266,1.051697,3.687322,0.915203,5,0,,,,,
11.517,0.040859,1.12713,2.507563,0.916448,3,0,,,,,
11.657,0.040503,1.288217,2.283692,0.923317,5,0,,,,,
11.766,0.055341,1.410742,2.688332,0.923238,7,0,,,,,
11.896,0.054649,1.555683,2.939469,0.925956,7,0,,,,,
12.004,0.061777,1.958515,3.100983,0.933751,7,0,,,,,
12.136,0.065794,2.050178,2.370816,0.92614,5,0,,,,,
12.242,0.053319,2.090364,2.358548,0.933873,6,0,,,,,
12.376,0.055418,2.17229,2.606461,0.935904,6,0,,,,,
12.48,0.054694,2.122184,2.625298,0.936023,4,0,,,,,
12.612,0.054666,2.184671,2.177451,0.936486,3,0,,,,,
12.718,0.063476,2.216968,1.745408,0.937761,3,0,,,,,
12.856,0.060735,2.297767,1.825172,0.938025,5,0,,,,,
12.964,0.067313,2.49508,1.982146,0.937935,4,0,,,,,
13.1,0.053478,2.440143,1.769579,0.937042,3,0,,,,,
13.215,0.054178,2.449475,1.477654,0.935492,2,0,,,,,
13.351,0.048067,2.441792,0.926601,0.933368,3,0,,,,,
13.455,0.045605,2.469071,1.217347,0.936162,5,0,,,,,
13.591,0.051007,2.379425,1.680613,0.936254,4,0,,,,,
13.691,0.047287,2.307579,1.637401,0.933274,3,0,,,,,
13.83,0.060899,2.184325,1.274293,0.930867,1,0,,,,,
13.935,0.054567,2.132856,0.914592,0.929598,0,0,,,,,
14.044,0.055693,2.105987,0.523593,0.928681,0,0,,,,,
14.182,0.060718,2.06708,0.366308,0.928079,0,0,,,,,
14.29,0.041141,2.011065,0.280042,0.926104,0,0,,,,,
14.426,0.046147,1.950659,0.30144,0.924231,1,0,,,,,
14.53,0.028873,1.853729,0.443647,0.923296,1,0,,,,,
14.665,0.033755,1.745081,0.531454,0.922138,1,0,,,,,
14.765,0.020778,1.612697,0.657516,0.920123,1,0,,,,,
14.905,0.024286,1.508224,0.616608,0.918691,1,0,,,,,
15.005,0.017714,1.402241,0.55252,0.917486,1,0,,,,,
15.141,0.017338,1.328398,0.576975,0.916673,1,0,,,,,
15.241,0.018803,1.242621,0.599193,0.916053,1,0,,,,,
15.381,0.013457,1.18411,0.628556,0.915514,1,0,,,,,
15.481,0.022261,1.110734,0.640841,0.914906,1,0,,,,,
15.617,0.013123,1.065673,0.670891,0.914496,1,0,,,,,
15.717,0.026337,1.002986,0.685292,0.914157,1,0,,,,,
15.852,0.015239,0.969237,0.718793,0.913952,1,0,,,,,
15.96,0.030319,0.912345,0.777645,0.91366,1,0,,,,,
16.096,0.047103,0.862241,0.787525,0.913524,1,0,,,,,
16.212,0.033962,0.846252,0.823115,0.913376,2,0,,,,,
16.322,0.050701,0.805326,0.867846,0.913314,2,0,,,,,
16.46,0.037383,0.799609,0.908308,0.913325,2,0,,,,,
16.572,0.054072,0.76689,0.979276,0.913291,2,0,,,,,
16.712,0.039115,0.855087,1.044663,0.913344,2,0,,,,,
16.824,0.052697,0.873377,1.093873,0.913437,2,0,,,,,
16.934,0.036698,0.858064,1.184028,0.913556,2,0,,,,,
17.067,0.050113,0.88517,1.229682,0.913661,2,0,,,,,
17.172,0.034575,0.874833,1.314399,0.913965,3,0,,,,,
17.307,0.047664,0.909755,1.355124,0.914094,3,0,,,,,
17.41,0.032798,0.903198,1.422331,0.914259,3,0,,,,,
