ref x,ref y),x,y
38,-4.4,38.033092,-4.407102
38.097874,-4.421019,38.063559,-4.4141
38.097874,-4.421019,38.096654,-4.422328
38.097874,-4.421019,38.130789,-4.43128
38.195744,-4.442046,38.165291,-4.440703
38.195744,-4.442046,38.199839,-4.450503
38.195744,-4.442046,38.233978,-4.46049
38.29361,-4.463091,38.267752,-4.470732
38.29361,-4.463091,38.301228,-4.481253
38.29361,-4.463091,38.334328,-4.492024
38.391472,-4.484164,38.367019,-4.503241
38.391472,-4.484164,38.399343,-4.51485
38.391472,-4.484164,38.431128,-4.526717
38.489319,-4.505271,38.46251,-4.538873
38.489319,-4.505271,38.493642,-4.55123
38.489319,-4.505271,38.52443,-4.563816
38.587158,-4.526424,38.55497,-4.576646
38.587158,-4.526424,38.585271,-4.589711
38.587158,-4.526424,38.615199,-4.60295
38.684978,-4.547631,38.64487,-4.6164
38.684978,-4.547631,38.674142,-4.629901
38.684978,-4.547631,38.702682,-4.642742
38.782787,-4.5689,38.731011,-4.655061
38.782787,-4.5689,38.759311,-4.666938
38.782787,-4.5689,38.787732,-4.677877
38.880573,-4.59024,38.816451,-4.687971
38.880573,-4.59024,38.845703,-4.697374
38.880573,-4.59024,38.875914,-4.705789
38.978336,-4.61166,38.906754,-4.713188
38.978336,-4.61166,38.938361,-4.719642
38.978336,-4.61166,38.971028,-4.724918
39.076077,-4.633171,39.004227,-4.729039
39.076077,-4.633171,39.037616,-4.732174
39.076077,-4.633171,39.070994,-4.734511
39.076077,-4.633171,39.104076,-4.736155
39.173794,-4.654779,39.136662,-4.737269
39.173794,-4.654779,39.169003,-4.738003
39.173794,-4.654779,39.201237,-4.738534
39.271477,-4.676495,39.233157,-4.739186
39.271477,-4.676495,39.264704,-4.740454
39.271477,-4.676495,39.296193,-4.742428
39.369129,-4.698327,39.327711,-4.745299
39.369129,-4.698327,39.359237,-4.748937
39.369129,-4.698327,39.391014,-4.753458
39.466751,-4.720284,39.422979,-4.75907
39.466751,-4.720284,39.45493,-4.765609
39.466751,-4.720284,39.487021,-4.773179
39.564335,-4.742376,39.519147,-4.781807
39.564335,-4.742376,39.551108,-4.791312
39.564335,-4.742376,39.582812,-4.801546
39.661877,-4.76461,39.61403,-4.812143
39.661877,-4.76461,39.644818,-4.823005
39.661877,-4.76461,39.675294,-4.83414
39.75938,-4.786996,39.705244,-4.845092
39.75938,-4.786996,39.734888,-4.855753
39.75938,-4.786996,39.764398,-4.866271
39.856842,-4.809543,39.793795,-4.876413
39.856842,-4.809543,39.823198,-4.886177
39.856842,-4.809543,39.852813,-4.895314
39.856842,-4.809543,39.882671,-4.90374
39.954254,-4.83226,39.912738,-4.911608
39.954254,-4.83226,39.943093,-4.918879
39.954254,-4.83226,39.973652,-4.925637
40.05162,-4.855156,40.004351,-4.931951
40.05162,-4.855156,40.035173,-4.937888
40.05162,-4.855156,40.066187,-4.943424
40.148933,-4.87824,40.097322,-4.948656
40.148933,-4.87824,40.128529,-4.953605
40.148933,-4.87824,40.159749,-4.958407
40.246197,-4.90152,40.190984,-4.963041
40.246197,-4.90152,40.222208,-4.967565
40.246197,-4.90152,40.253319,-4.972245
40.343403,-4.925005,40.284363,-4.977123
40.343403,-4.925005,40.315352,-4.982352
40.343403,-4.925005,40.346298,-4.987885
40.343403,-4.925005,40.377212,-4.993664
40.440552,-4.948706,40.408147,-4.999735
40.440552,-4.948706,40.439126,-5.006382
40.440552,-4.948706,40.470064,-5.013542
40.537636,-4.97263,40.500913,-5.021195
40.537636,-4.97263,40.531608,-5.029476
40.537636,-4.97263,40.562227,-5.038023
40.634663,-4.996786,40.592716,-5.046902
40.634663,-4.996786,40.623086,-5.056089
40.634663,-4.996786,40.653298,-5.065438
40.731621,-5.021183,40.68334,-5.074787
40.731621,-5.021183,40.713292,-5.084162
40.731621,-5.021183,40.743192,-5.093582
40.82851,-5.045831,40.773042,-5.102963
40.82851,-5.045831,40.80285,-5.112222
40.82851,-5.045831,40.832656,-5.121402
40.925331,-5.070738,40.862458,-5.130423
40.925331,-5.070738,40.892272,-5.139217
40.925331,-5.070738,40.922122,-5.147839
40.925331,-5.070738,40.952032,-5.156247
41.022079,-5.095913,40.98199,-5.164481
41.022079,-5.095913,41.011993,-5.172584
41.022079,-5.095913,41.042138,-5.180483
41.118755,-5.121366,41.072409,-5.188185
41.118755,-5.121366,41.102766,-5.195716
41.118755,-5.121366,41.13318,-5.203158
41.215351,-5.147104,41.16365,-5.210482
41.215351,-5.147104,41.194171,-5.217651
41.215351,-5.147104,41.224664,-5.224953
41.311867,-5.173137,41.255171,-5.232197
41.311867,-5.173137,41.285687,-5.239411
41.311867,-5.173137,41.316186,-5.246739
41.408298,-5.199474,41.346667,-5.254161
41.408298,-5.199474,41.377126,-5.261678
41.408298,-5.199474,41.407547,-5.269378
41.408298,-5.199474,41.437938,-5.277213
41.50465,-5.226124,41.468257,-5.285324
41.50465,-5.226124,41.498501,-5.293685
41.50465,-5.226124,41.528676,-5.302264
41.60091,-5.253097,41.558785,-5.311041
41.60091,-5.253097,41.588822,-5.320084
41.60091,-5.253097,41.618806,-5.329318
41.697083,-5.280399,41.648738,-5.338733
41.697083,-5.280399,41.678615,-5.348345
41.697083,-5.280399,41.708452,-5.358072
41.793163,-5.308042,41.738262,-5.367763
