Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,,
0,0.026877,-12.044982,-0.735675,0.930013,-20,1,,,,,,
0.102,0.040906,-11.877704,-2.977051,1.006743,-19,0,,,,,,
0.235,0.051192,-11.447364,-5.785258,1.025468,-20,0,,,,,,
0.338,0.05895,-10.484414,-8.288359,1.02488,-20,0,,,,,,
0.478,0.062992,-9.622541,-9.125922,1.021637,-18,0,,,,,,
0.59,0.071627,-8.447657,-9.303952,1.014198,-18,0,,,,,,
0.726,0.068774,-7.586688,-8.972667,1.014132,-18,0,,,,,,
0.826,0.053718,-6.413524,-9.053878,1.013508,-18,0,,,,,,
0.962,0.060315,-5.26578,-8.82401,1.010638,-18,0,,,,,,
1.074,0.057064,-4.425641,-8.862216,1.01043,-16,0,,,,,,
1.19,0.036913,-3.388001,-8.136747,1.006333,-15,0,,,,,,
1.321,0.029049,-2.650719,-7.917064,1.005872,-14,0,,,,,,0.197
1.428,0.017098,-1.731169,-7.11949,0.997476,-13,0,,,,,,
1.562,0.016362,-1.12224,-6.133513,0.997204,-7,0,,,,,,
1.666,0.050272,-0.530897,-5.1113,0.99617,-4,0,,,,,,
1.802,0.051231,-0.198711,-3.61055,0.995858,-2,0,,,,,,
1.904,0.028282,0.05009,-1.815498,0.997065,0,0,,,,,,
2.033,0.029906,0.076383,-0.99257,0.998452,0,0,,,,,,
2.142,0.039429,0.058638,-0.754828,0.999249,0,0,,,,,,
2.277,0.041557,-0.000039,-0.849826,0.999731,-1,0,,,,,,
2.38,0.048556,-0.160314,-0.843478,1.000361,-2,0,,,,,,
2.521,0.048028,-0.198817,-1.049779,1.000298,-2,0,,,,,,
2.625,0.036355,-0.177724,-1.230371,1.000384,-2,0,,,,,,
2.765,0.054475,-0.150192,-1.468522,1.000585,-2,0,,,,,,
2.872,0.057503,-0.154307,-1.491359,1.000576,-3,0,,,,,,
3.004,0.050089,-0.258567,-1.54225,1.000345,-3,0,,,,,,
3.112,0.0513,-0.264442,-1.765586,1.000532,-3,0,,,,,,
3.253,0.05212,-0.212225,-1.480056,1.000302,-3,0,,,,,,
3.396,0.072304,-0.35079,-1.657472,1.000329,-3,0,,,,,,
3.502,0.058091,-0.303597,-1.731596,1.000333,-3,0,,,,,,
3.632,0.060343,-0.309443,-1.858734,1.000419,-4,0,,,,,,
3.737,0.068147,-0.258522,-2.044599,1.00057,-4,0,,,,,,
3.872,0.071727,-0.261884,-2.027709,1.000535,-3,0,,,,,,
3.978,0.07827,-0.419639,-2.067575,1.000609,-4,0,,,,,,
4.111,0.079855,-0.439146,-2.165464,1.000512,-4,0,,,,,,
