ref x,ref y),x,y
38,-4.4,38.049188,-4.400812
38.097874,-4.421019,38.079572,-4.401336
38.097874,-4.421019,38.111929,-4.401922
38.097874,-4.421019,38.145326,-4.402996
38.195744,-4.442046,38.179252,-4.404612
38.195744,-4.442046,38.213518,-4.4068
38.195744,-4.442046,38.24798,-4.409623
38.29361,-4.463091,38.282547,-4.413109
38.29361,-4.463091,38.317173,-4.417274
38.29361,-4.463091,38.351786,-4.42209
38.391472,-4.484164,38.38629,-4.427313
38.391472,-4.484164,38.420648,-4.432941
38.489319,-4.505271,38.454898,-4.439032
38.489319,-4.505271,38.489042,-4.445394
38.489319,-4.505271,38.523088,-4.452096
38.587158,-4.526424,38.557056,-4.459127
38.587158,-4.526424,38.590909,-4.466296
38.587158,-4.526424,38.624675,-4.4736
38.684978,-4.547631,38.658381,-4.481125
38.684978,-4.547631,38.692055,-4.488653
38.684978,-4.547631,38.72569,-4.496256
38.782787,-4.5689,38.759223,-4.504288
38.782787,-4.5689,38.792699,-4.51238
38.782787,-4.5689,38.8261,-4.520636
38.880573,-4.59024,38.859447,-4.52916
38.880573,-4.59024,38.892766,-4.537924
38.880573,-4.59024,38.926041,-4.546767
38.978336,-4.61166,38.959257,-4.555732
38.978336,-4.61166,38.992394,-4.56477
38.978336,-4.61166,39.025467,-4.574023
39.076077,-4.633171,39.058498,-4.583471
39.076077,-4.633171,39.091491,-4.59312
39.076077,-4.633171,39.124414,-4.602844
39.173794,-4.654779,39.157306,-4.612803
39.173794,-4.654779,39.190168,-4.622878
39.173794,-4.654779,39.222956,-4.63299
39.271477,-4.676495,39.255676,-4.643135
39.271477,-4.676495,39.288318,-4.65325
39.271477,-4.676495,39.320898,-4.663474
39.369129,-4.698327,39.35346,-4.673866
39.369129,-4.698327,39.386003,-4.684305
39.369129,-4.698327,39.418476,-4.694683
39.466751,-4.720284,39.45085,-4.705053
39.466751,-4.720284,39.483155,-4.715464
39.466751,-4.720284,39.515449,-4.725984
39.564335,-4.742376,39.547718,-4.736623
39.564335,-4.742376,39.579999,-4.747106
