Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^23.508000,0.002196,-12.127852,-0.230616,0.308006,-20,9
0,0.031503,-11.905951,-4.285472,0.916028,23,1,,,,,,
0.108,0.024907,-11.149262,-5.301203,1.004171,-16,0,,,,,,
0.244,0.034441,-10.572578,-6.380206,1.014978,-16,0,,,,,,
0.387,0.049023,-9.456618,-7.171472,1.01432,-16,0,,,,,,
0.523,0.05013,-8.445913,-8.608146,1.020526,-20,0,,,,,,
0.627,0.050413,-7.580664,-8.736994,1.010625,-16,0,,,3.647,,,
0.759,0.061346,-6.519646,-8.268801,1.005471,-16,0,,,,,,
0.867,0.057173,-5.736657,-8.120073,1.005807,-16,0,,,,,,
0.983,0.03336,-4.697431,-8.041966,1.006292,-2,0,,,,,,
1.114,0.027786,-4.004661,-6.373009,0.9933,-2,0,,,,,,
1.221,0.040433,-3.415679,-4.374141,0.995849,-26,0,,,,,,
1.354,0.041078,-2.996565,-6.115087,1.022821,-26,0,,,,,,
1.459,0.026139,-2.007914,-9.852186,1.04149,18,0,,,,,,
1.594,0.022033,-1.160123,-8.151623,1.003325,25,0,,,,,,
1.697,0.015785,-0.573197,-2.365223,0.721861,25,0,,,,,,
1.826,0.033127,-0.601131,0.675556,0.787336,24,0,,,,,,
1.935,0.016917,-1.175465,5.839176,0.947427,-26,1,,,,,,
2.073,0.018207,-1.913611,5.774733,0.997071,-26,0,,,,,,
2.185,0.029138,-2.589949,1.927717,0.999521,-26,0,,,,,,
2.317,0.034459,-2.696315,-2.414559,1.022808,-26,0,,,,,,
2.417,0.044714,-2.257573,-6.309374,1.020595,-2,0,,,,,,
2.553,0.040432,-1.769828,-4.88099,0.894311,25,-1,,,,,,
2.66,0.03589,-1.540349,-1.056405,0.811695,-18,3,,,,,,
2.8,0.014236,-1.600223,-1.359438,0.995712,-2,0,,,,,,
2.908,0.013406,-1.584853,-1.514018,1.000691,-2,0,,,,,,
3.044,0.034007,-1.55236,-1.276208,1.00038,-2,0,,,,,,
3.148,0.035983,-1.563734,-2.090939,1.004937,-22,0,,,,,,
3.28,0.029134,-1.341577,-6.507986,1.036157,-22,0,,,,,,
3.383,0.023599,-0.720744,-8.940211,1.027599,25,-4,,,,,,
