Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,
0,0.039634,0.147314,0.566857,0.823916,0,1,,,,,
0.104,0.019647,0.035397,0.997407,0.907019,0,0,,,,,
0.236,0.027107,-0.025622,-0.096542,0.910289,0,-1,,,,,
0.343,0.004127,0.005066,-0.498815,0.910259,0,-1,,,,,
0.476,0.010743,0.048722,-0.519718,0.90988,0,0,,,,,
0.58,0.012896,0.100637,-0.63184,0.909482,0,0,,,,,
0.724,0.036399,0.122201,-0.09894,0.909226,0,0,,,,,
0.827,0.029025,0.114478,-0.046072,0.909088,0,0,,,,,9.874
0.963,0.047519,0.088174,-0.089859,0.908966,0,0,,,,,
1.067,0.045128,0.096774,-0.120787,0.908911,0,0,,,,,
1.199,0.031474,0.072724,-0.126423,0.908889,0,0,,,,,
1.303,0.038872,0.061642,-0.117124,0.908908,0,0,,,,,
1.435,0.015537,0.050435,-0.097016,0.908931,0,0,,,,,
1.543,0.022875,0.032613,-0.075967,0.908993,0,0,,,,,
1.675,0.003013,0.013281,-0.060396,0.909099,0,0,,,,,
1.783,0.007213,-0.010344,-0.054048,0.909185,0,0,,,,,
1.897,0.017251,-0.034273,-0.049703,0.909295,0,0,,,,,
2.03,0.010116,-0.061659,-0.045694,0.909366,0,0,,,,,
2.135,0.033343,-0.089754,-0.03928,0.909433,0,0,,,,,
2.27,0.026047,-0.12168,-0.033243,0.909457,0,0,,,,,
2.373,0.049534,-0.155183,-0.029014,0.90945,0,0,,,,,
2.502,0.042213,-0.192189,-0.022313,0.909415,0,0,,,,,
2.611,0.034323,-0.273684,-0.01977,0.909335,0,0,,,,,
2.746,0.041626,-0.311921,-0.016838,0.909258,0,0,,,,,
2.849,0.018069,-0.342181,-0.015634,0.909143,0,0,,,,,
2.978,0.025401,-0.364459,-0.012102,0.909057,0,0,,,,,
3.087,0.001993,-0.379351,-0.001463,0.908958,0,0,,,,,
3.218,0.009333,-0.386226,0.004759,0.908901,0,0,,,,,
3.325,0.014447,-0.386278,0.011592,0.908859,0,0,,,,,
3.454,0.0075,-0.377254,0.0205,0.908855,0,0,,,,,
3.563,0.030661,-0.361883,0.029402,0.908888,0,0,,,,,
3.697,0.023495,-0.337089,0.040258,0.908937,0,0,,,,,
3.801,0.046901,-0.307159,0.062921,0.909027,0,0,,,,,
3.933,0.0397,-0.267651,0.082666,0.909106,0,0,,,,,
4.039,0.037738,-0.159856,0.103318,0.909215,0,0,,,,,
4.169,0.045033,-0.098784,0.134095,0.909287,0,0,,,,,
4.277,0.022234,-0.037048,0.169974,0.909365,0,0,,,,,
4.405,0.029301,0.035677,0.191292,0.909392,0,0,,,,,
4.515,0.009504,0.107602,0.221143,0.909389,0,0,,,,,
4.648,0.014652,0.190705,0.2814,0.90933,0,0,,,,,
4.753,0.014571,0.265523,0.321882,0.909244,0,0,,,,,
4.883,0.00987,0.354076,0.37061,0.90918,0,1,,,,,
4.991,0.029298,0.423242,0.613434,0.908804,0,1,,,,,
5.13,0.022565,0.494876,0.735894,0.908548,0,2,,,,,
5.238,0.045065,0.530217,0.993404,0.90775,0,2,,,,,
5.368,0.038054,0.569901,1.382139,0.906393,0,5,,,,,
5.477,0.042992,0.715395,1.850932,0.905727,0,6,,,,,
5.61,0.051381,0.758725,2.383154,0.902989,0,9,,,,,
5.714,0.034669,0.673084,3.666766,0.900267,0,11,,,,,
5.846,0.045371,0.643129,5.420793,0.886102,0,28,,,,,
5.954,0.050693,0.097895,8.440407,0.768522,0,28,,,,,
6.086,0.078404,-0.763777,8.358921,0.6463,0,28,,,,,
6.194,0.088303,-1.397242,8.905825,0.631977,1,28,,,,,
6.33,0.110144,-2.11173,8.847435,0.81652,1,-6,,,,,
6.442,0.121479,-2.06944,2.358731,0.86337,0,-28,,,,,
6.573,0.122168,-1.167738,-3.729329,0.683399,0,-28,,,,,
6.677,0.109589,0.246938,-9.110391,0.909124,0,-8,,,,,
6.809,0.090832,2.169146,-6.654853,0.938968,0,7,,,,,
6.917,0.078143,3.315779,-1.679828,0.969178,0,23,,,,,
7.031,0.080142,4.374676,6.059794,1.009274,0,28,,,,,
7.161,0.085858,4.176911,10.29303,0.999802,0,28,,,,,
7.269,0.097814,3.236385,12.628882,0.978423,0,26,,,,,
7.401,0.115426,2.582842,12.93135,0.959068,0,14,,,,,
7.507,0.137824,1.751745,8.685875,0.912719,0,7,,,,,
7.64,0.146892,1.621327,5.546841,0.927902,0,-3,,,,,
7.745,0.156541,1.790555,1.141244,0.960156,0,-6,,,,,
7.876,0.153368,2.361295,-0.029772,0.972443,0,5,,,,,
7.983,0.140995,3.54016,1.353359,0.989285,0,11,,,,,
8.12,0.138353,3.924246,3.483951,1.006448,0,19,,,,,
8.228,0.143433,3.805224,7.301306,1.02475,0,20,,,,,
8.364,0.151476,3.623327,8.610279,1.020505,0,14,,,,,
8.472,0.162104,3.73439,8.26348,1.00011,0,9,,,,,
8.604,0.168437,3.626731,6.641039,0.991258,0,6,,,,,
8.707,0.171958,3.506411,4.658615,0.995238,0,5,,,,,
8.839,0.172949,3.72997,3.890189,1.002277,0,5,,,,,
8.947,0.176808,4.520108,3.725937,1.012019,0,8,,,,,
9.083,0.170129,4.605369,4.407816,1.021033,0,14,,,,,
9.191,0.170918,4.706381,5.732042,1.027249,0,16,,,,,
9.327,0.180808,4.433903,7.376033,1.032904,0,16,,,,,
9.427,0.185941,4.931922,7.612716,1.029018,0,14,,,,,
9.563,0.186294,4.564901,6.95976,1.024344,0,10,,,,,
9.671,0.189548,4.533906,6.181086,1.025037,0,8,,,,,
9.803,0.196445,4.408861,5.312827,1.030605,0,9,,,,,
9.903,0.197681,5.156108,5.241057,1.036686,0,10,,,,,
10.034,0.192137,5.072756,5.616494,1.044856,0,11,,,,,
10.142,0.192905,5.11927,6.194032,1.050265,0,13,,,,,
10.282,0.200962,5.513987,6.832996,1.051977,0,13,,,,,
10.386,0.201018,5.466729,6.803213,1.050928,0,12,,,,,
10.499,0.199956,5.207597,6.512332,1.051797,0,12,,,,,
10.634,0.202042,5.188617,6.332093,1.052941,0,12,,,,,
10.737,0.20602,5.609245,6.257314,1.054122,0,12,,,,,
10.87,0.205484,5.606059,6.287928,1.054504,0,12,,,,,
10.974,0.206066,5.378015,6.399922,1.054943,0,12,,,,,
11.114,0.208286,5.357291,6.457263,1.054867,0,12,,,,,
11.221,0.208681,5.756283,6.409602,1.054434,0,12,,,,,
11.361,0.208547,5.743082,6.420947,1.054159,0,12,,,,,
11.501,0.211166,5.935372,6.472578,1.054254,0,12,,,,,
11.637,0.21044,5.699772,6.571239,1.054293,0,12,,,,,
11.741,0.212006,5.675088,6.659193,1.054323,0,12,,,,,
11.873,0.212685,6.058878,6.664687,1.054475,0,12,,,,,
11.98,0.212163,6.03058,6.618688,1.054207,0,12,,,,,
12.112,0.214221,5.780672,6.576457,1.054423,0,12,,,,,
12.221,0.216141,5.753433,6.582018,1.054563,0,12,,,,,
12.356,0.213075,6.137359,6.536395,1.054808,0,12,,,,,
12.5,0.215644,5.883433,6.516695,1.054886,0,12,,,,,
12.607,0.214046,6.260027,6.53936,1.055073,0,12,,,,,
12.736,0.213478,6.227512,6.545245,1.055208,0,12,,,,,
12.845,0.216627,5.969165,6.583824,1.055055,0,12,,,,,
12.976,0.218623,5.931277,6.630934,1.055021,0,12,,,,,
13.083,0.213468,6.304122,6.627835,1.054725,0,12,,,,,
13.211,0.213325,6.269938,6.660845,1.054552,0,12,,,,,
13.321,0.218242,6.648597,6.712574,1.054136,0,12,,,,,
13.456,0.215998,6.614803,6.736351,1.054407,0,12,,,,,
13.559,0.212452,6.355315,6.765584,1.054203,0,12,,,,,
13.688,0.212751,6.317936,6.796735,1.054211,0,12,,,,,
13.797,0.214162,6.68722,6.853743,1.054653,0,13,,,,,
13.935,0.212559,6.638853,6.800665,1.054659,0,13,,,,,
14.043,0.212016,6.363168,6.752871,1.054785,0,13,,,,,
14.179,0.212982,6.314489,6.713329,1.054946,0,13,,,,,
14.283,0.211033,6.670581,6.720327,1.055378,0,13,,,,,
14.419,0.211232,6.389225,6.681301,1.055319,0,12,,,,,
14.527,0.212232,6.342636,6.634029,1.055205,0,12,,,,,
14.659,0.209094,6.710168,6.640426,1.05528,0,13,,,,,
14.77,0.207974,6.665411,6.64853,1.055264,0,13,,,,,
14.906,0.210832,6.38994,6.753459,1.054922,0,13,,,,,
15.01,0.212387,6.339694,6.767742,1.05473,0,12,,,,,
15.142,0.205713,6.702882,6.824028,1.0546,0,13,,,,,
15.246,0.205064,6.658584,6.816719,1.054322,0,12,,,,,
15.378,0.208856,7.034077,6.749797,1.054913,0,13,,,,,
15.49,0.205837,7.000972,6.845016,1.05526,0,13,,,,,
15.599,0.202001,6.71414,7.171352,1.05572,0,13,,,,,
15.734,0.202641,6.626439,7.168716,1.055051,0,13,,,,,
15.837,0.203668,6.95523,6.888555,1.054445,0,13,,,,,
15.969,0.201692,6.900534,6.739879,1.054383,0,13,,,,,
16.075,0.200876,6.618647,6.713081,1.055305,0,13,,,,,
16.209,0.201658,6.558352,6.83315,1.055694,0,13,,,,,
16.313,0.199089,6.896,6.799291,1.055606,0,13,,,,,
16.445,0.197755,6.837011,6.762255,1.055458,0,13,,,,,
16.551,0.199951,6.550799,6.747157,1.055345,0,13,,,,,
16.68,0.201283,6.494682,6.754583,1.055303,0,13,,,,,
16.789,0.195118,6.840543,6.870043,1.055122,0,13,,,,,
16.924,0.194405,6.778538,6.933998,1.054804,0,13,,,,,
17.027,0.199669,6.48657,6.961274,1.054688,0,13,,,,,
17.16,0.196843,7.065645,6.985751,1.054624,0,13,,,,,
17.308,0.195724,6.573065,6.805855,1.055784,0,13,,,,,
17.44,0.195514,7.16702,7.027446,1.056224,0,13,,,,,
17.543,0.189416,6.84365,7.409446,1.055771,0,14,,,,,
17.684,0.189646,6.743545,7.302738,1.055466,0,13,,,,,
17.787,0.194048,7.050293,7.043296,1.054753,0,13,,,,,
