Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^20.103000,,,,,
0,0.015899,0.091168,1.321634,0.934686,2,1,,,,,
0.111,0.016919,-0.035489,0.890144,0.995798,0,0,,,,,
0.251,0.015463,-0.108476,0.484577,1.001851,0,0,,,,,
0.351,0.022142,-0.136536,-0.21461,1.001752,0,-1,,,,,
0.483,0.024067,-0.119332,-0.294149,1.001238,0,-1,,,,,
0.587,0.040865,-0.086717,-0.317957,1.000694,0,0,,,,,
0.719,0.038887,-0.062242,-0.400492,1.000534,0,0,,,,,
0.823,0.004545,-0.033566,-0.210418,1.000291,0,0,,,,,
0.952,0.003486,-0.034454,-0.132046,1.000072,0,0,,,,,
1.062,0.035088,-0.041427,-0.08617,1.000131,0,0,,,,,
1.194,0.036972,-0.0548,-0.223153,1.000036,0,0,,,,,
1.302,0.027461,-0.070559,-0.284861,0.999982,0,0,,,,,0.205
1.434,0.025541,-0.06649,-0.294996,1.000014,0,0,,,,,
1.538,0.01059,-0.052257,-0.339625,1.000028,0,0,,,,,
1.67,0.012398,-0.047761,-0.36065,0.999966,0,0,,,,,
1.777,0.048198,-0.031684,-0.352608,0.999911,0,0,,,,,
1.91,0.04988,-0.063052,-0.374738,0.999991,0,0,,,,,
2.014,0.013984,-0.051332,-0.342892,1.000027,0,0,,,,,
2.145,0.012091,-0.05119,-0.337177,1.000052,0,0,,,,,
2.253,0.023944,-0.041957,-0.375307,1.000166,0,0,,,,,
2.385,0.02592,-0.044136,-0.3617,1.000177,0,-1,,,,,
2.493,0.038409,-0.070798,-0.346408,1.000158,0,0,,,,,
2.625,0.036525,-0.063162,-0.389248,1.000166,0,0,,,,,
2.729,0.004474,-0.039708,-0.200425,1.000181,0,0,,,,,
2.865,0.004997,-0.032564,-0.137997,1.000147,0,0,,,,,
2.965,0.037812,-0.025677,-0.074039,1.000094,0,0,,,,,
3.097,0.039743,-0.017606,-0.058205,1.000167,0,0,,,,,
3.204,0.025171,0.018599,-0.05476,1.000002,0,0,,,,,
3.344,0.012291,0.050113,-0.006648,0.999978,0,0,,,,,
3.452,0.013967,0.068656,0.277499,1.000108,0,1,,,,,
3.588,0.049138,0.062111,0.467076,1.00011,0,1,,,,,
3.688,0.049243,0.127254,0.531809,1.000011,0,1,,,,,
3.82,0.013404,0.114775,0.640879,0.999982,0,1,,,,,
3.936,0.01134,0.120236,0.781568,1.000122,0,2,,,,,
4.046,0.02464,0.095106,0.937929,1.000191,0,2,,,,,
4.18,0.026679,0.096536,1.04237,1.000247,0,2,,,,,
4.284,0.037753,0.17864,1.155126,1.000405,0,2,,,,,
4.416,0.036082,0.189302,1.229692,1.000439,0,2,,,,,
4.522,0.008643,0.164956,1.193632,1.00028,0,2,,,,,
4.66,0.010678,0.186977,1.251227,1.000397,0,3,,,,,
4.768,0.040546,0.152676,1.474254,1.000572,0,2,,,,,
4.912,0.030324,0.278517,1.597286,1.000591,0,3,,,,,
5.024,0.030164,0.310296,1.752006,1.000791,0,4,,,,,
