ref x,ref y),x,y
0,0,0.026494,0.000178
0.100005,0.000314,0.053461,0.000843
0.100005,0.000314,0.084171,0.001751
0.100005,0.000314,0.11656,0.002645
0.100005,0.000314,0.149813,0.003489
0.200009,0.000626,0.183468,0.004181
0.200009,0.000626,0.217346,0.004792
0.300014,0.000931,0.251337,0.005344
0.300014,0.000931,0.285346,0.005826
0.300014,0.000931,0.319359,0.006254
0.400019,0.001228,0.353376,0.00655
0.400019,0.001228,0.387395,0.006769
0.400019,0.001228,0.421414,0.00693
0.500023,0.001512,0.45543,0.006963
0.500023,0.001512,0.489442,0.007012
0.500023,0.001512,0.523449,0.007027
0.600027,0.001781,0.557452,0.006982
0.600027,0.001781,0.59145,0.006875
0.600027,0.001781,0.625444,0.006794
0.700031,0.002032,0.659432,0.006697
0.700031,0.002032,0.693416,0.00662
0.700031,0.002032,0.727395,0.006524
0.800034,0.002262,0.761369,0.006413
0.800034,0.002262,0.795339,0.006304
0.800034,0.002262,0.829305,0.006245
0.900037,0.002467,0.863268,0.006129
0.900037,0.002467,0.89723,0.006042
0.900037,0.002467,0.931191,0.00602
1.00004,0.002646,0.965151,0.006009
1.00004,0.002646,0.999111,0.006005
1.00004,0.002646,1.033073,0.006014
1.100042,0.002794,1.067039,0.006031
1.100042,0.002794,1.101007,0.006056
1.100042,0.002794,1.134975,0.006087
1.200044,0.002909,1.168942,0.006119
1.200044,0.002909,1.202908,0.00615
1.200044,0.002909,1.236874,0.006139
1.300045,0.002987,1.270838,0.006093
1.300045,0.002987,1.304802,0.006037
1.300045,0.002987,1.338766,0.005949
1.400046,0.003027,1.37273,0.005845
1.400046,0.003027,1.406692,0.00573
1.400046,0.003027,1.440656,0.005589
1.500046,0.003024,1.47462,0.005446
1.500046,0.003024,1.508584,0.005295
1.500046,0.003024,1.542549,0.005132
1.600045,0.002975,1.576513,0.004968
1.600045,0.002975,1.610478,0.004792
1.600045,0.002975,1.644442,0.004593
1.700043,0.002879,1.678407,0.0044
1.700043,0.002879,1.712371,0.004199
1.700043,0.002879,1.746334,0.003991
1.800041,0.00273,1.7803,0.003762
1.800041,0.00273,1.814267,0.003535
1.800041,0.00273,1.848236,0.00329
1.900038,0.002528,1.882207,0.003055
1.900038,0.002528,1.91618,0.002809
2.000034,0.002268,1.950155,0.002543
2.000034,0.002268,1.98413,0.002267
2.000034,0.002268,2.018105,0.002001
2.100029,0.001947,2.05208,0.001711
2.100029,0.001947,2.086055,0.00143
2.100029,0.001947,2.12003,0.001134
2.200024,0.001563,2.154005,0.000814
2.200024,0.001563,2.18798,0.000487
2.200024,0.001563,2.221955,0.000169
2.300017,0.001113,2.25593,-0.000162
2.300017,0.001113,2.289906,-0.000495
2.300017,0.001113,2.323881,-0.000842
2.400009,0.000593,2.357856,-0.001217
2.400009,0.000593,2.391829,-0.001584
2.400009,0.000593,2.425802,-0.001961
2.5,0,2.459775,-0.002362
2.5,0,2.493748,-0.002783
2.5,0,2.527721,-0.003203
2.59999,-0.000665,2.561695,-0.003624
2.59999,-0.000665,2.595669,-0.004037
