Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,,
0,0.036822,0.309132,-2.735598,0.827974,20,1,,,,,,
0.131,0.043016,0.581477,-2.049728,0.983364,2,-1,,,,,,
0.235,0.026908,0.639957,0.273173,0.733807,2,0,,,,,,
0.371,0.048239,0.597175,0.653742,0.649494,5,0,,,,,,
0.475,0.031996,0.478158,0.949367,0.600542,5,0,,,,,,
0.606,0.011544,0.348109,1.307356,0.64884,-20,4,,,,,,
0.714,0.014203,0.17781,0.06087,0.988811,2,0,,,,,,
0.846,0.015976,0.195639,-0.003139,1.000315,2,0,,,,,,7.065
0.95,0.049945,0.122112,0.616432,1.000799,2,0,,,,,,
1.086,0.047927,0.042726,0.696552,1.000611,2,0,,,,,,
1.19,0.012288,-0.073082,0.219546,1.001207,-20,0,,,,,,
1.321,0.010623,0.007519,-2.562883,1.015451,-19,0,,,,,,
1.426,0.034228,0.638699,-6.569565,1.027391,-19,0,,,,,,
1.562,0.045892,1.34871,-7.8326,1.023584,20,0,,,,,,
1.666,0.062433,2.344914,-6.72342,1.000217,20,0,,,,,,
1.801,0.074448,2.839097,-3.475576,0.993342,20,0,,,,,,
1.905,0.076913,2.90549,1.600789,1.008204,5,0,,,,,,
2.037,0.078591,2.671947,2.13738,0.999925,5,0,,,,,,
2.145,0.090066,2.322272,2.477149,0.999978,5,0,,,,,,
2.277,0.090581,2.030789,2.655484,1.00028,2,0,,,,,,
2.38,0.079115,1.649245,1.989197,0.998817,2,0,,,,,,
2.516,0.079954,1.44679,1.333727,0.753204,5,-1,,,,,,
2.617,0.083226,1.231704,1.59088,0.694191,5,7,,,,,,
2.756,0.086162,0.976923,2.767537,0.970875,5,0,,,,,,
2.856,0.069817,0.565834,2.787184,1.000369,-22,0,,,,,,
2.991,0.066432,0.31757,1.18187,1.001361,-22,0,,,,,,
3.095,0.074436,0.402651,-2.016445,1.006829,5,0,,,,,,
3.227,0.078732,0.563874,-0.78732,1.001232,5,0,,,,,,
3.331,0.079543,0.526128,1.266405,1.001937,5,0,,,,,,
3.466,0.076786,0.381258,1.911352,1.001857,-22,0,,,,,,
3.566,0.067454,0.183583,0.633285,1.001339,-22,0,,,,,,
3.706,0.069766,0.317301,-2.746958,1.018647,-22,0,,,,,,
3.806,0.096357,1.096173,-7.215688,1.030653,1,0,,,,,,
3.946,0.103467,2.070712,-4.891569,0.996444,20,0,,,,,,
4.062,0.112839,2.464909,-1.393422,0.999141,20,0,,,,,,
4.173,0.116965,2.373503,3.897657,1.028951,16,0,,,,,,
4.301,0.110548,2.032494,3.269596,0.524788,-22,-1,,,,,,
4.411,0.10424,1.576253,4.964302,0.891372,-22,3,,,,,,
4.546,0.100971,1.298278,2.489922,0.851731,-3,0,,,,,,
4.649,0.098905,1.250233,0.252045,0.871298,-11,3,,,,,,
4.777,0.103696,1.505008,-2.471011,0.997999,8,0,,,,,,
4.887,0.115479,1.97294,-1.58384,1.000727,8,0,,,,,,
5.021,0.120032,2.144527,0.888003,1.005017,8,0,,,,,,
5.125,0.12428,2.206615,2.537801,1.004042,8,0,,,,,,
5.257,0.122384,2.081306,3.248425,1.003036,8,0,,,,,,
5.363,0.113382,1.825615,3.571747,1.002681,8,0,,,,,,
5.492,0.110141,1.722859,3.681246,1.002358,8,0,,,,,,
5.601,0.11141,1.544215,3.738461,1.002153,8,0,,,,,,
5.74,0.10838,1.549185,3.781522,1.002131,8,0,,,,,,
5.847,0.10064,1.991551,4.348688,1.007514,32,0,,,,,,
5.988,0.093673,1.997954,6.731638,0.933048,28,-8,,,,,,
6.127,0.092567,1.201027,6.853847,0.579957,-8,5,,,,,,
6.263,0.078094,1.475077,6.33961,0.710989,29,-8,,,,,,
6.371,0.05818,1.131674,1.635575,0.154546,-22,7,,,,,,
6.484,0.057716,1.173806,7.173564,0.914664,1,2,,,,,,
6.614,0.052506,1.287865,4.744192,0.987346,32,0,,,,,,
6.723,0.030686,1.490549,4.019271,1.004751,32,0,,,,,,
6.857,0.024087,1.660721,6.880272,1.034192,32,0,,,,,,
6.961,0.043173,1.006263,12.595743,1.076283,32,0,,,,,,
7.095,0.052886,0.25282,15.088756,1.064096,-9,0,,,,,,
7.199,0.053898,-0.386569,12.768458,0.994182,-9,0,,,,,,
7.327,0.07386,-0.851586,8.729387,0.975141,-9,0,,,,,,
7.438,0.089498,-1.01028,2.57611,0.99072,-9,0,,,,,,
7.564,0.092585,-0.488766,-0.629472,0.999188,32,0,,,,,,
7.675,0.097632,0.88628,-0.558681,0.997628,32,0,,,,,,
7.81,0.096009,1.425551,2.440116,1.013293,32,0,,,,,,
7.913,0.096235,1.350997,7.1483,1.031383,1,0,,,,,,
8.045,0.106359,1.266729,6.326741,1.000372,-9,0,,,,,,
8.151,0.120738,1.302095,2.522748,0.994066,1,0,,,,,,
8.284,0.121899,1.744806,1.617801,0.995927,1,0,,,,,,
8.389,0.112168,2.871687,1.058811,0.998352,1,0,,,,,,
8.523,0.107407,3.454597,-0.01597,1.001339,-24,0,,,,,,
8.627,0.094817,4.392652,-4.528028,1.030635,-24,0,,,,,,
8.758,0.07611,5.710462,-8.021215,1.043429,-24,0,,,,,,
8.865,0.047345,8.27635,-10.700562,1.032659,30,0,,,,,,
9,0.037305,9.95748,-9.378731,0.997871,30,0,,,,,,
9.103,0.043923,11.546295,-4.665429,0.986617,30,0,,,,,,
9.236,0.068815,12.41284,-0.15807,1.006849,29,0,,,,,,
9.337,0.093513,12.550318,7.319196,1.06272,29,0,,,,,,
9.47,0.101336,12.155866,11.726723,1.063163,29,0,,,,,,
9.579,0.097933,11.638743,13.935021,1.041915,16,0,,,,,,
9.711,0.093951,10.92766,11.962983,0.996587,-22,0,,,,,,
9.817,0.092946,10.239732,7.165258,0.977939,-22,0,,,,,,
9.947,0.101478,10.340432,3.950853,0.985087,29,0,,,,,,
10.055,0.123084,10.390473,5.626709,1.015337,29,0,,,,,,
10.189,0.130878,10.287762,9.308748,1.057932,29,0,,,,,,
10.293,0.121804,9.98814,13.393915,1.056268,14,0,,,,,,
10.424,0.115752,9.292867,12.246931,1.007114,22,0,,,,,,
10.53,0.112826,8.402378,11.382649,1.010991,22,0,,,,,,
10.664,0.108037,7.869274,11.611006,1.015331,22,0,,,,,,
10.769,0.102079,7.556382,11.736496,1.015261,22,0,,,,,,
10.91,0.09368,6.99352,11.771357,1.014964,22,0,,,,,,
11.014,0.074492,6.024086,11.962185,1.017572,26,0,,,,,,
11.146,0.062797,5.382787,12.912321,1.028401,5,0,,,,,,
11.254,0.05172,4.476691,8.034303,0.655148,5,0,,,,,,
11.39,0.039813,4.384981,6.980874,0.845006,1,1,,,,,,
11.49,0.040732,4.297296,3.704519,0.984049,1,0,,,,,,
11.622,0.043574,4.637955,2.243773,0.994735,1,0,,,,,,
11.734,0.065737,5.682431,1.30383,0.998185,1,0,,,,,,
11.869,0.059264,6.181313,0.94548,0.999326,24,0,,,,,,
11.985,0.06788,6.677831,2.084596,1.008492,24,0,,,,,,
12.095,0.077806,6.67771,6.849076,1.038606,22,0,,,,,,
12.229,0.078069,6.488301,8.86591,1.035307,22,0,,,,,,
12.333,0.069023,6.401778,10.827542,1.02528,22,0,,,,,,
12.465,0.059798,5.916786,11.301786,1.020883,22,0,,,,,,
12.571,0.042011,4.999512,11.461021,1.015627,-17,0,,,,,,
12.705,0.032929,4.562102,9.201957,0.989427,-17,0,,,,,,
12.809,0.052715,4.28183,4.002121,0.98795,-17,0,,,,,,
12.944,0.056546,4.745225,-0.756054,1.010733,-17,0,,,,,,
13.047,0.053876,6.447566,-4.781748,1.0156,29,0,,,,,,
13.18,0.073561,7.552669,-3.899367,0.998125,29,0,,,,,,
13.285,0.096534,8.456313,0.362296,1.00589,29,0,,,,,,
13.428,0.108101,8.83043,4.950136,1.037118,22,-1,,,,,,
13.532,0.118321,9.060228,9.239621,1.036274,22,0,,,,,,
13.671,0.115395,8.688475,10.434805,1.026184,22,0,,,,,,
13.771,0.102883,7.84805,11.242383,1.020175,22,0,,,,,,
13.911,0.100616,6.933462,11.606268,1.01704,22,0,,,,,,
14.015,0.093867,6.383773,11.740575,1.015746,22,0,,,,,,
14.151,0.077399,6.060935,11.77011,1.01385,-17,0,,,,,,
14.262,0.068606,5.600592,9.474381,0.988652,-17,0,,,,,,
14.373,0.059135,5.219815,6.640701,0.991825,14,0,,,,,,
14.506,0.057315,5.207606,5.604742,0.993801,-17,0,,,,,,
14.611,0.074489,5.354128,1.203896,1.000482,-17,0,,,,,,
14.75,0.085671,6.087479,-2.935602,1.01907,24,0,,,,,,
14.858,0.101287,7.871643,-3.392626,0.999637,24,0,,,,,,
14.998,0.123192,8.758252,-0.028228,1.00587,29,0,,,,,,
15.114,0.135461,9.149145,4.505589,1.0363,24,0,,,,,,
15.223,0.148511,9.409387,9.239121,1.039363,24,0,,,,,,
15.366,0.145851,9.01706,10.789662,1.031384,22,0,,,,,,
15.473,0.132852,8.137247,11.389194,1.019694,22,0,,,,,,
15.617,0.128344,7.299706,9.505822,0.991281,-22,0,,,,,,
15.725,0.126461,7.091074,7.842797,0.993724,14,0,,,,,,
15.835,0.128901,7.322223,7.594739,1.002673,14,0,,,,,,
15.973,0.127862,7.19427,7.507829,1.004338,14,0,,,,,,
16.081,0.120622,6.821446,7.432684,1.00537,14,0,,,,,,
16.22,0.119551,6.704771,7.38914,1.005834,14,0,,,,,,
16.324,0.122188,6.339296,7.359114,1.006082,14,0,,,,,,
16.46,0.120635,6.611895,7.360362,1.006072,14,0,,,,,,
16.572,0.118688,6.498552,7.352781,1.006111,14,0,,,,,,
16.708,0.111786,6.135835,7.370365,1.005989,14,0,,,,,,
16.808,0.109728,6.023438,7.394498,1.005846,14,0,,,,,,
16.923,0.113686,5.661593,7.419521,1.005738,14,0,,,,,,
17.059,0.111788,5.549537,7.428623,1.005717,14,0,,,,,,
17.167,0.103235,5.824136,7.448999,1.005619,14,0,,,,,,
17.303,0.10002,5.711257,7.472229,1.005419,14,0,,,,,,
17.411,0.093939,5.348051,7.458308,1.005541,14,0,,,,,,
17.551,0.100671,4.984621,7.452052,1.005522,20,0,,,,,,
17.658,0.097917,4.834026,8.475734,1.018397,20,0,,,,,,
17.773,0.075964,4.872557,9.599138,1.019203,20,0,,,,,,
17.914,0.066595,4.508144,9.985924,1.016459,20,0,,,,,,
18.018,0.057731,3.762475,10.244212,1.01428,20,0,,,,,,
18.158,0.048716,3.344301,10.335242,1.013451,-3,0,,,,,,
18.258,0.044299,3.258946,8.725029,0.993947,-3,0,,,,,,
18.398,0.040537,3.16609,5.254352,0.986642,-3,0,,,,,,
18.538,0.036704,3.393718,-0.356033,1.002002,30,0,,,,,,
18.669,0.046297,4.848287,-1.165831,0.998237,30,0,,,,,,
18.786,0.052461,5.515529,0.973894,1.007289,30,0,,,,,,
18.895,0.046115,5.623907,6.934531,1.052983,29,0,,,,,,
19.033,0.042248,5.319557,10.414341,1.055755,20,0,,,,,,
19.145,0.054569,5.156272,10.593518,1.013563,20,0,,,,,,
19.281,0.017184,4.371914,10.552662,1.009447,-3,0,,,,,,
19.389,0.010127,4.036018,8.29702,0.988524,20,0,,,,,,
19.529,0.025469,3.703798,7.40682,1.00565,-3,0,,,,,,
