ref x,ref y),x,y
0,0,0.014243,-0.000395
0,0,0.036541,-0.001319
0.100005,0.000314,0.063313,-0.00279
0.100005,0.000314,0.092916,-0.00458
0.100005,0.000314,0.124838,-0.006427
0.200009,0.000626,0.157872,-0.008025
0.200009,0.000626,0.191487,-0.009159
0.200009,0.000626,0.2227,-0.009734
0.200009,0.000626,0.250004,-0.009973
0.300014,0.000931,0.275448,-0.010049
0.300014,0.000931,0.300006,-0.010061
0.300014,0.000931,0.32414,-0.010018
0.300014,0.000931,0.347029,-0.009868
0.400019,0.001228,0.368573,-0.0096
0.400019,0.001228,0.389472,-0.009321
0.400019,0.001228,0.410062,-0.008929
0.400019,0.001228,0.430514,-0.008456
0.500023,0.001512,0.450905,-0.007907
0.500023,0.001512,0.471275,-0.007291
0.500023,0.001512,0.491823,-0.006614
0.500023,0.001512,0.517474,-0.005784
0.500023,0.001512,0.547546,-0.004913
0.600027,0.001781,0.57973,-0.004178
0.600027,0.001781,0.613007,-0.003985
0.600027,0.001781,0.646742,-0.004149
0.700031,0.002032,0.680629,-0.004418
0.700031,0.002032,0.714576,-0.004575
0.700031,0.002032,0.748551,-0.004553
0.800034,0.002262,0.782534,-0.004419
0.800034,0.002262,0.816517,-0.00419
0.900037,0.002467,0.850497,-0.003881
0.900037,0.002467,0.884473,-0.00351
0.900037,0.002467,0.918447,-0.003175
1.00004,0.002646,0.952419,-0.002759
1.00004,0.002646,0.986388,-0.002285
1.00004,0.002646,1.020356,-0.001757
1.100042,0.002794,1.054323,-0.001202
1.100042,0.002794,1.088298,-0.000821
1.100042,0.002794,1.122327,-0.000783
1.200044,0.002909,1.156476,-0.001243
1.200044,0.002909,1.190812,-0.002347
1.200044,0.002909,1.225378,-0.00422
1.300045,0.002987,1.260128,-0.006902
1.300045,0.002987,1.294906,-0.010271
1.300045,0.002987,1.329625,-0.014233
1.400046,0.003027,1.364265,-0.018623
1.400046,0.003027,1.398793,-0.023462
1.400046,0.003027,1.433212,-0.028691
1.500046,0.003024,1.467527,-0.034265
1.500046,0.003024,1.501688,-0.040074
1.500046,0.003024,1.535592,-0.045831
1.600045,0.002975,1.569258,-0.05134
1.600045,0.002975,1.60277,-0.056456
1.600045,0.002975,1.636232,-0.061083
1.700043,0.002879,1.669736,-0.065121
1.700043,0.002879,1.70337,-0.068487
1.700043,0.002879,1.737212,-0.071109
1.800041,0.00273,1.771333,-0.072905
1.800041,0.00273,1.805591,-0.073982
1.800041,0.00273,1.839766,-0.074669
1.900038,0.002528,1.873828,-0.07522
1.900038,0.002528,1.907826,-0.075677
1.900038,0.002528,1.941801,-0.076016
2.000034,0.002268,1.975774,-0.076258
2.000034,0.002268,2.009754,-0.076412
2.000034,0.002268,2.043742,-0.076482
2.100029,0.001947,2.077739,-0.076477
2.100029,0.001947,2.111744,-0.076395
2.100029,0.001947,2.145756,-0.076245
2.200024,0.001563,2.179772,-0.076022
2.200024,0.001563,2.213768,-0.075878
2.200024,0.001563,2.247743,-0.075829
2.300017,0.001113,2.281712,-0.075855
2.300017,0.001113,2.315683,-0.075941
2.300017,0.001113,2.349299,-0.076075
2.400009,0.000593,2.377525,-0.076134
2.400009,0.000593,2.401493,-0.076121
2.400009,0.000593,2.423403,-0.07604
2.400009,0.000593,2.444342,-0.075909
2.5,0,2.465478,-0.075728
2.5,0,2.492207,-0.075423
2.5,0,2.522817,-0.074932
2.59999,-0.000665,2.555268,-0.074312
2.59999,-0.000665,2.588542,-0.073426
2.59999,-0.000665,2.622208,-0.072493
2.699979,-0.001391,2.656055,-0.071513
2.699979,-0.001391,2.689986,-0.070489
2.699979,-0.001391,2.723949,-0.06945
2.799967,-0.002162,2.757905,-0.068595
2.799967,-0.002162,2.791874,-0.068099
2.799967,-0.002162,2.825915,-0.068107
2.899955,-0.002963,2.860088,-0.06874
2.899955,-0.002963,2.894384,-0.070031
2.899955,-0.002963,2.928603,-0.071666
2.999943,-0.00378,2.962696,-0.073388
2.999943,-0.00378,2.996701,-0.074979
2.999943,-0.00378,3.030692,-0.076259
3.099931,-0.004596,3.064719,-0.077126
