Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^24.525000,0.003552,0.168582,0.118446,0.298935,10,9
4.657,0.026376,-0.028141,3.658567,0.92175,-21,1,,,,,,
4.769,0.013096,-0.462063,2.031557,0.998866,-21,0,,,,,,
4.897,0.044979,-0.344823,-4.156336,1.027689,-17,0,,,,,,
5.017,0.048245,0.209092,-6.298289,1.024712,-17,0,,,,,,
5.149,0.021883,1.092009,-5.994925,1.004659,21,0,,,,,,
5.249,0.030056,1.553634,-3.114877,0.996623,21,0,,,,,,
5.38,0.039362,1.597779,2.136335,1.015039,-21,0,,,,,,
5.492,0.039251,1.297675,2.64084,1.001374,-21,0,,,,,,
5.624,0.048059,1.091077,-0.773913,1.007479,-21,0,,,,,,
5.728,0.050028,1.355443,-4.971558,1.032695,-21,0,,,,,,
5.864,0.05648,2.237339,-7.240672,1.017,-14,0,,,,,,
5.968,0.074034,2.957577,-7.357323,1.004092,28,0,,,,,,
6.1,0.103953,3.762134,-4.377153,0.992166,28,0,,,,,,
6.2,0.114818,3.987721,-0.436398,1.004401,28,0,,,,,,
6.332,0.120388,3.781808,2.114631,0.489432,26,-1,,,,,,
6.44,0.10875,3.347025,7.100363,0.871017,3,2,,,,,,
6.579,0.105808,2.377238,5.957213,0.987262,3,0,,,,,,
6.701,0.096668,1.713077,3.54598,0.995136,3,0,,,,,,
6.837,0.093935,1.380948,2.643465,0.997398,3,0,,,,,,
6.941,0.089003,1.044364,1.984925,0.999169,3,0,,,,,,
7.077,0.087691,0.816368,1.738888,0.999704,3,0,,,,,,
7.181,0.097527,0.544632,1.591108,1.000096,3,0,,,,,,
7.321,0.082926,0.258663,1.51118,1.000256,3,0,,,,,,
7.427,0.080494,0.095815,0.751413,1.000343,-9,0,,,,,,
7.563,0.084713,0.186376,-2.186683,1.006498,-9,0,,,,,,
7.667,0.09065,0.465283,-3.310491,1.005952,1,0,,,,,,
7.803,0.102401,0.849554,-1.67356,0.998554,3,0,,,,,,
7.903,0.104513,0.950271,-0.071808,0.999454,3,0,,,,,,
8.043,0.099179,0.926139,0.959727,1.000061,3,0,,,,,,
8.143,0.099074,0.866688,1.224939,1.000263,3,0,,,,,,
8.279,0.105104,0.754361,1.299967,1.00047,3,0,,,,,,
8.426,0.100328,0.687585,1.430203,1.000442,3,0,,,,,,
8.53,0.09517,0.56363,1.45861,1.000392,3,0,,,,,,
8.658,0.093714,0.494656,1.466795,1.000379,3,0,,,,,,
