ref x,ref y),x,y0.000000,0,0.003551,0.000045
0,0,0.019372,0.000407,,,
0,0,0.044077,0.001589,,,
0.100005,0.000314,0.073828,0.003555,,,
0.100005,0.000314,0.105911,0.005921,,,
0.100005,0.000314,0.139006,0.008294,,,
0.200009,0.000626,0.17256,0.010405,,,
0.200009,0.000626,0.206363,0.012078,,,
0.200009,0.000626,0.240362,0.013166,,,
0.300014,0.000931,0.274568,0.013552,,,
0.300014,0.000931,0.309014,0.013097,,,
0.300014,0.000931,0.343732,0.011507,,,
0.400019,0.001228,0.378691,0.008962,,,
0.400019,0.001228,0.413567,0.005796,,,
0.400019,0.001228,0.448253,0.002254,,,
0.500023,0.001512,0.482806,-0.001656,,,
0.500023,0.001512,0.517246,-0.005914,,,
0.600027,0.001781,0.551469,-0.01031,,,
0.600027,0.001781,0.585455,-0.014545,,,
0.600027,0.001781,0.619263,-0.018468,,,
0.700031,0.002032,0.652985,-0.021961,,,
0.700031,0.002032,0.686714,-0.024913,,,
0.700031,0.002032,0.720535,-0.027233,,,
0.800034,0.002262,0.754527,-0.028828,,,
0.800034,0.002262,0.788758,-0.029615,,,
0.800034,0.002262,0.823238,-0.029533,,,
0.900037,0.002467,0.857669,-0.028874,,,
0.900037,0.002467,0.891916,-0.027942,,,
0.900037,0.002467,0.925985,-0.026984,,,
1.00004,0.002646,0.95994,-0.026206,,,
1.00004,0.002646,0.993862,-0.025775,,,
1.00004,0.002646,1.027841,-0.025836,,,
1.100042,0.002794,1.061958,-0.026519,,,
1.100042,0.002794,1.096277,-0.027943,,,
1.100042,0.002794,1.130861,-0.030226,,,
1.200044,0.002909,1.165704,-0.033473,,,
1.200044,0.002909,1.200616,-0.037587,,,
1.200044,0.002909,1.235466,-0.042409,,,
1.300045,0.002987,1.270141,-0.047763,,,
1.300045,0.002987,1.304468,-0.053319,,,
1.300045,0.002987,1.338448,-0.058945,,,
1.400046,0.003027,1.372202,-0.064779,,,
1.400046,0.003027,1.405836,-0.07078,,,
1.400046,0.003027,1.4394,-0.076776,,,
1.500046,0.003024,1.472837,-0.082601,,,
1.500046,0.003024,1.506194,-0.088095,,,
1.500046,0.003024,1.539552,-0.09313,,,
1.600045,0.002975,1.573003,-0.097598,,,
1.600045,0.002975,1.606633,-0.101409,,,
1.600045,0.002975,1.640522,-0.104471,,,
1.700043,0.002879,1.67474,-0.106695,,,
1.700043,0.002879,1.704976,-0.107939,,,
1.700043,0.002879,1.727391,-0.108568,,,
1.700043,0.002879,1.745323,-0.10867,,,
1.800041,0.00273,1.761119,-0.108382,,,
1.800041,0.00273,1.781109,-0.107568,,,
1.800041,0.00273,1.808338,-0.105703,,,
1.800041,0.00273,1.839216,-0.103231,,,
1.900038,0.002528,1.871693,-0.100609,,,
1.900038,0.002528,1.904867,-0.098202,,,
1.900038,0.002528,1.938329,-0.096109,,,
2.000034,0.002268,1.971931,-0.094388,,,
2.000034,0.002268,2.005631,-0.092999,,,
2.000034,0.002268,2.039398,-0.091863,,,
2.100029,0.001947,2.073213,-0.090926,,,
2.100029,0.001947,2.107067,-0.09015,,,
2.100029,0.001947,2.14095,-0.089497,,,
2.200024,0.001563,2.174857,-0.088938,,,
2.200024,0.001563,2.208781,-0.088452,,,
2.200024,0.001563,2.242721,-0.088022,,,
2.300017,0.001113,2.276671,-0.087625,,,
2.300017,0.001113,2.31063,-0.087255,,,
2.300017,0.001113,2.344596,-0.0869,,,
2.400009,0.000593,2.378566,-0.086549,,,
2.400009,0.000593,2.412539,-0.086198,,,
2.400009,0.000593,2.446514,-0.085835,,,
2.5,0,2.480488,-0.085452,,,
2.5,0,2.51446,-0.085057,,,
2.5,0,2.54843,-0.084652,,,
2.59999,-0.000665,2.582398,-0.08423,,,
2.59999,-0.000665,2.616365,-0.083784,,,
2.699979,-0.001391,2.650332,-0.083315,,,
2.699979,-0.001391,2.684299,-0.082821,,,
2.699979,-0.001391,2.718266,-0.082302,,,
2.799967,-0.002162,2.752231,-0.081785,,,
2.799967,-0.002162,2.78619,-0.081469,,,
2.799967,-0.002162,2.820183,-0.081518,,,
2.899955,-0.002963,2.854249,-0.082075,,,
2.899955,-0.002963,2.888376,-0.083144,,,
2.899955,-0.002963,2.922522,-0.084615,,,
2.999943,-0.00378,2.956666,-0.086435,,,
2.999943,-0.00378,2.990792,-0.088552,,,
2.999943,-0.00378,3.024895,-0.090928,,,
3.099931,-0.004596,3.058948,-0.093467,,,
3.099931,-0.004596,3.092913,-0.095925,,,
3.099931,-0.004596,3.126822,-0.098127,,,
3.199919,-0.005397,3.160721,-0.099999,,,
3.199919,-0.005397,3.194637,-0.101552,,,
3.199919,-0.005397,3.228583,-0.102783,,,
3.299907,-0.006169,3.262548,-0.103777,,,
3.299907,-0.006169,3.296529,-0.104571,,,
3.299907,-0.006169,3.330523,-0.105201,,,
3.399896,-0.006894,3.364527,-0.105692,,,
3.399896,-0.006894,3.39854,-0.106064,,,
3.399896,-0.006894,3.432559,-0.106334,,,
3.499886,-0.007559,3.466584,-0.106515,,,
3.499886,-0.007559,3.500613,-0.106631,,,
3.499886,-0.007559,3.534645,-0.106766,,,
3.599877,-0.008149,3.56867,-0.106787,,,
3.599877,-0.008149,3.602688,-0.106714,,,
3.599877,-0.008149,3.636705,-0.106589,,,
3.69987,-0.008648,3.670719,-0.106417,,,
3.69987,-0.008648,3.704732,-0.106199,,,
3.69987,-0.008648,3.738744,-0.105938,,,
3.799864,-0.009041,3.772754,-0.105637,,,
3.799864,-0.009041,3.806764,-0.105298,,,
3.799864,-0.009041,3.840774,-0.104922,,,
3.89986,-0.009313,3.874783,-0.10451,,,
3.89986,-0.009313,3.908792,-0.104063,,,
3.89986,-0.009313,3.9428,-0.103582,,,
3.999857,-0.009449,3.976808,-0.103068,,,
3.999857,-0.009449,4.010816,-0.102521,,,
3.999857,-0.009449,4.044823,-0.101941,,,
4.099858,-0.009434,4.078829,-0.101328,,,
4.099858,-0.009434,4.112834,-0.100684,,,
4.099858,-0.009434,4.146838,-0.100008,,,
4.199861,-0.009253,4.180841,-0.099297,,,
4.199861,-0.009253,4.214842,-0.098538,,,
4.199861,-0.009253,4.248842,-0.097766,,,
4.299866,-0.00889,4.282841,-0.096962,,,
4.299866,-0.00889,4.316839,-0.096126,,,
4.399874,-0.008331,4.350835,-0.095259,,,
4.399874,-0.008331,4.384827,-0.094361,,,
4.399874,-0.008331,4.418815,-0.093433,,,
4.499886,-0.007559,4.452799,-0.092462,,,
4.499886,-0.007559,4.486775,-0.09146,,,
4.499886,-0.007559,4.520745,-0.090432,,,
4.599901,-0.006562,4.554709,-0.089381,,,
4.599901,-0.006562,4.588669,-0.088298,,,
4.599901,-0.006562,4.622645,-0.087143,,,
4.69992,-0.005322,4.656696,-0.085699,,,
4.69992,-0.005322,4.690891,-0.083792,,,
4.69992,-0.005322,4.72529,-0.081264,,,
4.799942,-0.003825,4.759958,-0.07796,,,
4.799942,-0.003825,4.794891,-0.07375,,,
4.799942,-0.003825,4.829948,-0.06864,,,
4.899969,-0.002056,4.86494,-0.06277,,,
4.899969,-0.002056,4.899662,-0.056339,,,
4.899969,-0.002056,4.933926,-0.049681,,,
5,0,4.967745,-0.043048,,,
5,0,5.001222,-0.036625,,,
5,0,5.034498,-0.030568,,,
5.100033,0.002374,5.067715,-0.024808,,,
5.100033,0.002374,5.101023,-0.019045,,,
5.100033,0.002374,5.134516,-0.013025,,,
5.200058,0.005159,5.168162,-0.006657,,,
5.200058,0.005159,5.201768,-0.000121,,,
5.200058,0.005159,5.235219,0.00636,,,
5.300062,0.008463,5.268541,0.012591,,,
5.300062,0.008463,5.301825,0.018465,,,
5.300062,0.008463,5.335133,0.023942,,,
5.400031,0.012395,5.368541,0.028903,,,
5.400031,0.012395,5.40213,0.033247,,,
5.400031,0.012395,5.435978,0.036884,,,
5.499953,0.017064,5.470157,0.039717,,,
5.499953,0.017064,5.504723,0.041651,,,
5.499953,0.017064,5.539537,0.04271,,,
5.599815,0.022577,5.574427,0.042962,,,
5.599815,0.022577,5.609293,0.042382,,,
5.599815,0.022577,5.644092,0.041139,,,
5.699603,0.029043,5.678838,0.03954,,,
5.699603,0.029043,5.713506,0.037491,,,
5.699603,0.029043,5.748119,0.035046,,,
